APP,TABLA,CAMPO,DESFASE
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_adrmmgr_seginfobasesgenerales_vu.hm_portafoliocredito,codmes,0
LHCL,catalog_cemm_expl_bcp_prod.bcp_expl_mmgr_mlde.hm_calculomarcaingresopdhrbm_mlops,codmes,0
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_conceptodeudorrcc,codmes,0
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_conceptoresumensaldo,codmes,-1
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizdemografico,codmes,0
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizdeudorrccotradeuda,codmes,0
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizdeudorrccproducto,codmes,0
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizexperienciacliente,codmes,0
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizfacturaciontransacciontarjeta,codmes,0
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_adrmmgr_flujotrxcli_vu.hm_matrizgrafoatributoclientebanca,codmes,-1
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_adrmmgr_flujotrxcli_vu.hm_matrizgrafointeraccionbanca,codmes,-1
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_adrmmgr_videavariablesmodelos_vu.hm_matrizmoraponderadaclientemmgr,codmes,-1
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizmovimientoabonopasivo,codmes,0
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_adrmmgr_trxcomportamiento_vu.hm_matrizpagoservicioclienterbm,codmes,-1
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizresumensaldoactivopasivo,codmes,-1
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matriztransaccionpos,codmes,0
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matriztransaccionposotroestablecimiento,codmes,0
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_adrmmgr_niveledusuperior_vu.hm_niveleducativoclienteadr,codmes,-1
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizfacturaciontarjeta,codmes,0
LHCL,catalog_lhcl_prod.bcp.bcp_ddv_adrmmgr_videavariablesmodelos_vu.hm_clientemoraintrames,codmes,0
