APP,TABLA,CAMPO,DESFASE
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_adrmmgr_niveledusuperior_vu.hm_niveleducativoclienteadr,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizdemografico,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizdeudorrccrproducto,codmes,-1
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizdeudorrccotradeuda,codmes,-1
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizmovimientopasivo,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizresumensaldoactivopasivo,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizresumensaldo,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matriztransaccionbancamovil,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizexperienciacliente,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matriztransaccionesposmacrogiro,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matriztransaccionpostestablecimiento,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matriztransaccionagente,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matriztransaccionesclientetestestablecimiento,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matriztransaccionespos,codmes,-2
LHCL,catalog_lhcl_prod_bcp.bcp_ddv_matrizvariables_vu.hm_matrizmovimientocargopasivo,codmes,-2
